City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
São João da Barra,90,BR,1612538589,69,-21.6403,-41.0511,82.4,10.2
Mahébourg,40,MU,1612538589,69,-20.4081,57.7,82.4,13.8
Zhigalovo,100,RU,1612538589,91,54.8097,105.1578,4.44,3.58
Hilo,1,US,1612538539,67,19.7297,-155.09,63.0,6.91
Kaitangata,95,NZ,1612538589,92,-46.2817,169.8464,46.51,5.23
Arraial do Cabo,90,BR,1612538476,89,-22.9661,-42.0278,78.8,5.75
Saint-Joseph,0,RE,1612538589,65,-21.3667,55.6167,84.2,10.36
Cape Town,20,ZA,1612538500,64,-33.9258,18.4232,78.01,27.63
Qaanaaq,22,GL,1612538589,72,77.484,-69.3632,-14.28,6.67
Punta Arenas,20,CL,1612538535,50,-53.15,-70.9167,55.4,28.77
Alyangula,90,AU,1612538591,94,-13.8483,136.4192,78.8,5.75
Poronaysk,26,RU,1612538591,84,49.2167,143.1167,-14.62,3.4
Puerto Ayora,75,EC,1612538591,69,-0.7393,-90.3518,82.4,10.36
Ushuaia,75,AR,1612538591,81,-54.8,-68.3,48.2,34.52
Robertsport,99,LR,1612538418,72,6.7533,-11.3686,82.6,10.04
Mar del Plata,0,AR,1612538501,60,-38.0023,-57.5575,73.4,6.91
Kapaa,90,US,1612538591,77,22.0752,-159.319,63.0,4.61
Port Alfred,97,ZA,1612538591,85,-33.5906,26.891,73.99,5.99
Yangi Marg`ilon,100,UZ,1612538591,65,40.4272,71.7189,37.4,4.61
Okha,99,RU,1612538592,89,53.5739,142.9478,-8.16,20.4
Albany,100,US,1612538436,67,42.6001,-73.9662,35.01,1.01
Ahipara,100,NZ,1612538592,89,-35.1667,173.1667,60.46,4.83
Bandarbeyla,12,SO,1612538592,67,9.4942,50.8122,75.0,12.03
New Norfolk,100,AU,1612538592,84,-42.7826,147.0587,70.0,1.01
Tuktoyaktuk,75,CA,1612538592,68,69.4541,-133.0374,-29.2,11.5
Sulangan,25,PH,1612538592,82,11.1373,123.7228,80.82,12.84
Torbay,75,CA,1612538592,93,47.6666,-52.7314,46.4,16.11
Lavrentiya,100,RU,1612538593,92,65.5833,-171.0,1.49,17.07
Ponta do Sol,72,PT,1612538593,56,32.6667,-17.1,57.99,8.99
Houma,90,US,1612538593,82,29.5958,-90.7195,53.01,11.5
Bethel,90,US,1612538593,87,41.3712,-73.414,36.0,9.22
Keti Bandar,0,PK,1612538593,60,24.1447,67.4497,68.11,9.28
Muzhi,100,RU,1612538594,89,65.3667,64.6667,-13.59,10.8
Hithadhoo,100,MV,1612538471,78,-0.6,73.0833,82.89,14.79
Ürümqi,96,CN,1612538594,85,43.801,87.6005,14.0,2.24
Hobart,90,AU,1612538542,83,-42.8794,147.3294,70.0,8.05
Sept-Îles,100,CA,1612538342,93,50.2001,-66.3821,36.0,3.44
Bay Roberts,75,CA,1612538594,100,47.5999,-53.2648,42.01,11.95
Vaini,90,TO,1612538595,94,-21.2,-175.2,78.8,1.14
Faanui,95,PF,1612538595,71,-16.4833,-151.75,80.55,8.57
Hermanus,0,ZA,1612538595,69,-34.4187,19.2345,79.0,4.0
Nikolskoye,40,RU,1612538595,78,59.7035,30.7861,8.01,13.42
Vestmannaeyjar,40,IS,1612538595,87,63.4427,-20.2734,37.4,25.32
Thompson,75,CA,1612538595,69,55.7435,-97.8558,-16.6,8.05
Wagar,0,SD,1612538595,15,16.1525,36.2032,79.41,15.1
Kungurtug,79,RU,1612538595,90,50.5994,97.5228,5.38,2.51
Tiksi,100,RU,1612538595,89,71.6872,128.8694,-17.23,16.11
Zhangaözen,10,KZ,1612538486,88,43.3,52.8,46.76,7.67
Saint-Philippe,0,RE,1612538596,65,-21.3585,55.7679,84.2,10.36
Kyabé,55,TD,1612538596,9,9.4515,18.9449,99.95,8.7
Hofn,90,IS,1612538596,86,64.2539,-15.2082,33.8,14.97
